"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Mar 09 13:16:45 WIB 2024","Sat Mar 09 13:16:47 WIB 2024","2101","","Web Browser Access","","","","""before all"" hook for Web Browser Access",""
"passed","Sat Mar 09 13:16:47 WIB 2024","Sat Mar 09 13:16:58 WIB 2024","10382","","Web Browser Access","","","","Access external link and verify content in the browser ",""
